State,Area name,"Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
AL,Talladega County,19,34.9,31.8,14.3
AL,Tallapoosa County,19.5,32.9,29.2,18.3
AL,Tuscaloosa County,11.6,29.9,28.3,30.3
AL,Walker County,19.1,37.1,32.2,11.6
AL,Washington County,19.6,43.2,26.1,11.1
AL,Wilcox County,23.1,40.3,24.1,12.5
AL,Winston County,21.9,37.4,27.3,13.5
AK,Alaska,7.3,28,35.5,29.2
AK,Aleutian Islands,,,,
AK,Aleutians East Borough,13.6,40.2,33.4,12.7
AK,Aleutians West Census Area,11.2,40.5,31.9,16.4
AK,Anchorage Municipality,6.2,23.8,34.7,35.3
AK,Bethel Census Area,18.6,45.2,23.9,12.3
AK,Bristol Bay Borough,5.6,34.9,37.2,22.3
AK,Denali Borough,1.6,26.1,28.8,43.5
AK,Dillingham Census Area,12.7,39.2,28.8,19.3
AK,Fairbanks North Star Borough,5.5,22.3,39.7,32.6
AK,Haines Borough,3,30,29.5,37.4
AK,Hoonah-Angoon Census Area,8.5,35.6,32.5,23.4
AK,Juneau City and Borough,3.9,20.4,36.2,39.5
AK,Kenai Peninsula Borough,7.2,32.2,37.3,23.3
AK,Ketchikan Gateway Borough,7.3,29.9,38.3,24.5
AK,Kodiak Island Borough,10.1,31.3,32.6,26
AK,Kusilvak Census Area,22.3,53.6,19.3,4.8
AK,Kuskokwim Division,,,,
AK,Lake and Peninsula Borough,14.5,41.9,27.9,15.8
AK,Matanuska-Susitna Borough,7.6,32.2,39,21.2
AK,Nome Census Area,15.9,42.9,26.6,14.6
AK,North Slope Borough,10.2,43,30.2,16.6
AK,Northwest Arctic Borough,18.1,47.3,22.8,11.7
AK,Petersburg Census Area,10.3,31.9,30.3,27.6
AK,Prince of Wales-Hyder Census Area,9.8,37.3,35.3,17.6
AK,Prince of Wales-Outer Ketchikan Census Area,,,,
AK,Sitka City and Borough,6,28.3,33,32.6
AK,Skagway Municipality,6.3,23.4,36.6,33.7
AK,Skagway-Yakutat-Angoon Census Area,,,,
AK,Skagway-Hoonah-Angoon Census Area,,,,
AK,Southeast Fairbanks Census Area,9.8,32.6,38.5,19.1
AK,Upper Yukon Division,,,,
AK,Valdez-Cordova Census Area,4,32.7,32.7,30.6
AK,Wrangell City and Borough,11.7,37.6,30,20.7
AK,Wrangell-Petersburg Census Area,,,,
AK,Yakutat City and Borough,8.2,38.4,33.5,20
AK,Yukon-Koyukuk Census Area,14.3,40.3,32,13.4
AZ,Arizona,13.2,24,33.9,28.9
AZ,Apache County,20.4,33.1,34.8,11.7
AZ,Cochise County,12.8,23.5,40.7,23
AZ,Coconino County,10.4,21.4,32.6,35.6
AZ,Gila County,14.7,28.6,38.2,18.5
AZ,Graham County,14.4,29.9,40.5,15.3
AZ,Greenlee County,11,36.2,40.9,11.9
AZ,La Paz County,22.7,33,32,12.4
AZ,Maricopa County,12.6,22.6,32.8,32
AZ,Mohave County,14.7,34.8,37.6,12.9
AZ,Navajo County,17.2,30.1,36.9,15.8
AZ,Pima County,11.7,22.5,34,31.9
AZ,Pinal County,14.6,29.7,36.8,19
AZ,Santa Cruz County,24.4,27.2,27.4,21
AZ,Yavapai County,9.7,25.7,39.4,25.2
AZ,Yuma County,27.9,25.9,31.4,14.8
AR,Arkansas,13.8,34.1,29.5,22.6
AR,Arkansas County,17,38.3,29.2,15.5
AR,Ashley County,17.7,39.9,29.2,13.2
AR,Baxter County,11.8,35,34.8,18.3
AR,Benton County,11.9,29.1,26.5,32.4
AR,Boone County,13,33.8,37.2,16
AR,Bradley County,18,41.6,25.1,15.2
AR,Calhoun County,17.3,43.6,27,12.1
AR,Carroll County,14.2,34.6,30.8,20.4
AR,Chicot County,19.3,39.2,26.7,14.7
AR,Clark County,10.8,30.5,31,27.6
AR,Clay County,19.3,41.2,27.8,11.6
AR,Cleburne County,15.3,40.7,29.1,14.9
AR,Cleveland County,11.4,47.2,25.2,16.2
AR,Columbia County,15,39.9,24.5,20.6
AR,Conway County,14.1,43.4,26.5,16
AR,Craighead County,10.9,34.1,28.7,26.3
AR,Crawford County,14.8,37.4,32.4,15.3
AR,Crittenden County,17.6,35,29.4,18
AR,Cross County,17.2,41.5,25.8,15.4
AR,Dallas County,16.4,43.4,26.6,13.7
AR,Desha County,21.2,44,22.4,12.4
AR,Drew County,14.9,35.4,29.1,20.6
AR,Faulkner County,8.7,30.5,30.7,30
AR,Franklin County,17.4,40.1,30.7,11.8
AR,Fulton County,15.4,37.2,35.6,11.8
AR,Garland County,11.6,31.5,36.7,20.2
AR,Grant County,8.5,44.2,29,18.3
AR,Greene County,12.7,44.2,27.2,15.9
AR,Hempstead County,19,36.9,28.9,15.1
AR,Hot Spring County,14.6,39.6,31.1,14.7
AR,Howard County,17.1,37.3,30.8,14.7
AR,Independence County,14.2,35.8,31,18.9
AR,Izard County,14.9,37.8,33.5,13.8
AR,Jackson County,21.1,41.1,27.7,10.2
AR,Jefferson County,14,38.5,29.7,17.8
AR,Johnson County,20.6,41.2,22.3,15.8
AR,Lafayette County,18.3,41.3,24,16.5
AR,Lawrence County,14.5,40.4,30.1,15
AR,Lee County,27,40.8,23.3,8.9
AR,Lincoln County,18.7,50.3,22.1,8.9
AR,Little River County,11.8,42.7,34,11.4
AR,Logan County,14.9,45,28,12.1
AR,Lonoke County,11.3,35.1,33.3,20.3
AR,Madison County,20.3,45.6,21.6,12.5
AR,Marion County,13.1,36.8,32.8,17.2
AR,Miller County,14,35.9,33.5,16.6
AR,Mississippi County,19.3,38.6,29.3,12.8
AR,Monroe County,22.9,43,23.6,10.5
AR,Montgomery County,21.8,36.5,30.9,10.8
AR,Nevada County,13.2,43.8,27.6,15.4
AR,Newton County,17.4,40.8,25.6,16.2
AR,Ouachita County,14.4,41.6,28,16
AR,Perry County,16.6,40.7,30.8,11.9
AR,Phillips County,21.6,30.1,34.3,14
AR,Pike County,15.2,38.9,31.2,14.7
AR,Poinsett County,19.4,44.3,26.3,10.1
AR,Polk County,15.4,37.4,34,13.3
AR,Pope County,15.2,35.5,27.4,22
AR,Prairie County,17.8,40,27.1,15.1
AR,Pulaski County,9.6,26.2,30.2,34.1
AR,Randolph County,17.3,35.6,33.1,14
AR,St. Francis County,19.4,38.8,31.2,10.6
AR,Saline County,9.6,31.5,32.9,26.1
AR,Scott County,21.1,43,26.8,9.1
AR,Searcy County,15.5,45.1,26.9,12.5
AR,Sebastian County,16.8,32,31.4,19.7
AR,Sevier County,25.7,36.1,26.7,11.5
AR,Sharp County,16.4,42,30.3,11.3
AR,Stone County,20.4,36.3,30.5,12.8
AR,Union County,15.2,35.2,28.7,20.8
AR,Van Buren County,14.2,43.9,27.8,14.1
AR,Washington County,15,26.3,25.8,32.8
AR,White County,14.6,38.4,25.6,21.4
AR,Woodruff County,20,42.5,25.5,12
AR,Yell County,19.9,40.9,25.7,13.5
CA,California,17.1,20.6,29.1,33.3
CA,Alameda County,12,17.6,24.4,46
CA,Alpine County,11.1,28.7,30.2,30
CA,Amador County,9.7,28.7,41.3,20.3
CA,Butte County,10.7,22.7,40,26.5
CA,Calaveras County,9.6,27.6,44,18.7
CA,Colusa County,30.6,23.7,30.3,15.4
CA,Contra Costa County,10.6,17.6,30.1,41.7
CA,Del Norte County,19,31.5,35.2,14.3
CA,El Dorado County,6.9,21.2,38.2,33.7
CA,Fresno County,24.7,22.9,31.7,20.7
CA,Glenn County,24.7,28.2,33.2,13.9
CA,Humboldt County,9.7,23.5,37.1,29.8
CA,Imperial County,31,24.5,30,14.5
CA,Inyo County,11.2,29.3,33.5,26.1
CA,Kern County,26.2,27.7,30,16.1
CA,Kings County,26.3,25.5,34.7,13.5
CA,Lake County,14.8,30.1,39.3,15.8
CA,Lassen County,17.2,33.2,37.5,12
CA,Los Angeles County,21.3,20.7,26.2,31.8
CA,Madera County,28.1,25,32.4,14.5
CA,Marin County,6.8,10.9,23.5,58.8
CA,Mariposa County,9.6,26.5,40.4,23.4
CA,Mendocino County,13.1,25.8,36.5,24.7
CA,Merced County,30.6,25.8,29.6,14
CA,Modoc County,14.4,32.3,37.4,15.9
CA,Mono County,11.3,22.8,35.3,30.6
CA,Monterey County,28.7,20.4,26.4,24.5
CA,Napa County,14.9,18,32.2,34.9
CA,Nevada County,5.8,18.4,39.2,36.6
CA,Orange County,14.9,17.1,28.1,39.9
CA,Placer County,5.4,18.2,37.8,38.6
CA,Plumas County,6.1,25.2,45.2,23.5
CA,Riverside County,18.3,26.9,33,21.8
CA,Sacramento County,12.6,22.3,34.6,30.4
CA,San Benito County,20.1,24.8,35.4,19.7
CA,San Bernardino County,20.5,26.5,32.8,20.3
CA,San Diego County,12.9,18.4,30.6,38.1
CA,San Francisco County,11.5,12.3,19.1,57.1
CA,San Joaquin County,21.1,28.2,32.2,18.4
CA,San Luis Obispo County,9.1,19.8,36.4,34.6
CA,San Mateo County,10.8,15,24.2,49.9
CA,Santa Barbara County,19,17.9,29.2,33.8
CA,Santa Clara County,11.9,14.5,22.3,51.3
CA,Santa Cruz County,13.6,15.8,30.6,40
CA,Shasta County,9.2,24.8,43.8,22.2
CA,Sierra County,6.7,26.6,48,18.7
CA,Siskiyou County,10,25.5,41.9,22.5
CA,Solano County,12,23.3,38.5,26.2
CA,Sonoma County,12,18.8,34.4,34.9
CA,Stanislaus County,21.7,28.6,32.8,16.9
CA,Sutter County,22,23.9,36.4,17.7
CA,Tehama County,15.6,30.7,38.2,15.5
CA,Trinity County,9.4,33.4,37.6,19.7
CA,Tulare County,30.2,26,29.5,14.3
CA,Tuolumne County,9.6,28.4,42,20
CA,Ventura County,15.6,18.9,32.4,33.1
CA,Yolo County,13.6,18.5,26.3,41.6
CA,Yuba County,18,23.1,42.3,16.7
CO,Colorado,8.6,21.4,29.8,40.1
CO,Adams County,17,28.4,31,23.6
CO,Alamosa County,13.5,27.3,33.1,26.1
CO,Arapahoe County,7.6,20.7,29.5,42.2
CO,Archuleta County,8,21.5,31.7,38.9
CO,Baca County,15.2,27.3,35.3,22.1
CO,Bent County,14.2,48.6,24.7,12.4
CO,Boulder County,4.9,12.3,22,60.8
CO,Broomfield County,3.2,14.7,26.7,55.5
CO,Chaffee County,7.1,26.7,32.6,33.5
CO,Cheyenne County,9.9,36.4,33.8,20
CO,Clear Creek County,1.7,20.9,30.9,46.5
CO,Conejos County,13.4,32.4,34,20.2
CO,Costilla County,21.5,23.8,35.6,19.1
CO,Crowley County,15.2,41.7,33.5,9.6
CO,Custer County,7,21,35.1,36.9
CO,Delta County,9.6,38.2,31,21.2
CO,Denver County,12.9,17,22.2,47.9
CO,Dolores County,8.2,38.3,32.2,21.3
CO,Douglas County,2,12.2,27.9,57.9
CO,Eagle County,10.7,15.7,25.4,48.1
CO,Elbert County,3.3,24.6,36.2,35.9
CO,El Paso County,6.3,20.2,35.6,37.9
CO,Fremont County,9.7,39.8,32.3,18.2
CO,Garfield County,12.2,28.5,29.2,30
CO,Gilpin County,2.4,22,36.8,38.7
CO,Grand County,4.5,26.5,31.2,37.8
CO,Gunnison County,2.8,16,25.9,55.3
CO,Hinsdale County,6.2,25.7,24.3,43.9
CO,Huerfano County,8.5,28.7,41.3,21.4
CO,Jackson County,12.4,29.6,41.1,16.8
CO,Jefferson County,5.6,20.6,29.7,44.1
CO,Kiowa County,4.1,38,36.5,21.5
CO,Kit Carson County,11.5,37.7,31.8,18.9
CO,Lake County,14.5,27.1,24.4,34
CO,La Plata County,5,20.3,30.8,43.9
CO,Larimer County,4.2,19.2,30.2,46.3
CO,Las Animas County,12.2,28.8,39.3,19.7
CO,Lincoln County,9.7,53.1,24.4,12.8
CO,Logan County,10.5,32.7,36.3,20.5
CO,Mesa County,9.9,27.3,35.4,27.4
CO,Mineral County,3.2,19.3,37.6,39.9
CO,Moffat County,9.1,40.4,33.5,17.1
CO,Montezuma County,10.5,29.4,31.5,28.6
CO,Montrose County,11.2,31.8,33.1,23.9
CO,Morgan County,19.9,31.1,31.4,17.6
CO,Otero County,14.6,29.2,38.4,17.7
CO,Ouray County,1.6,18.2,31.6,48.6
CO,Park County,3,29.9,36.9,30.2
CO,Phillips County,11.8,27.6,35.1,25.5
CO,Pitkin County,3.7,14.8,18.4,63.1
CO,Prowers County,17.9,25.9,38.8,17.4
CO,Pueblo County,10.6,28.7,38.8,22
CO,Rio Blanco County,7.2,33.7,38.8,20.2
CO,Rio Grande County,15.7,30.2,30.4,23.7
CO,Routt County,3.2,19.7,26.6,50.4
CO,Saguache County,19.6,29.8,27.8,22.9
CO,San Juan County,7.1,26.7,31.7,34.5
CO,San Miguel County,5,15.2,23.2,56.7
CO,Sedgwick County,9.9,30,39.3,20.8
CO,Summit County,6.7,19,23.3,51
CO,Teller County,4.2,25.5,36.2,34
CO,Washington County,7.5,32,44.3,16.2
CO,Weld County,11.9,27.5,33.8,26.7
CO,Yuma County,11.9,33.5,32.5,22.1
CT,Connecticut,9.5,27.1,24.5,38.9
CT,Fairfield County,10.1,21.7,20.9,47.4
CT,Hartford County,10.5,26.9,24.9,37.8
CT,Litchfield County,7.4,29.7,27.8,35.1
CT,Middlesex County,5.8,26.1,26.6,41.5
CT,New Haven County,9.9,30.9,24.3,34.9
CT,New London County,8.1,29.8,28.8,33.3
CT,Tolland County,5.4,27.5,25.9,41.2
CT,Windham County,11.4,33,31.5,24.1
DE,Delaware,10.2,31.6,26.8,31.4
DE,Kent County,12.9,33.2,30.4,23.6
DE,New Castle County,8.5,30.6,25,35.9
DE,Sussex County,12.3,32.8,28.4,26.5
DC,District of Columbia,9.4,17.2,15.9,57.6
DC,District of Columbia,9.4,17.2,15.9,57.6
FL,Florida,12,28.8,30,29.2
FL,Alachua County,7.6,21.7,28.1,42.5
FL,Baker County,15.5,42.8,28.4,13.4
FL,Bay County,9.7,31.4,36.1,22.8
FL,Bradford County,21.7,39.7,28,10.6
FL,Brevard County,8,28.6,34.1,29.3
FL,Broward County,11.2,27.4,29.5,31.9
FL,Calhoun County,21.9,41.9,26.3,9.9
FL,Charlotte County,9.7,33.8,33.3,23.2
FL,Citrus County,11.9,38.3,32.1,17.6
FL,Clay County,8.9,31.6,35.5,24.1
FL,Collier County,13.6,25.4,24.8,36.2
FL,Columbia County,13.3,36.1,35,15.6
FL,DeSoto County,27.3,43.1,18.1,11.4
FL,Dixie County,20.7,44.7,25.2,9.4
FL,Duval County,10.5,27.9,32.5,29.2
FL,Escambia County,9.2,27.3,37.1,26.4
FL,Flagler County,8,33.9,33.7,24.4
FL,Franklin County,19.7,35.7,27.4,17.1
FL,Gadsden County,20.7,36.6,26.1,16.7
FL,Gilchrist County,14.1,42.2,29.6,14.2
FL,Glades County,24.4,40.6,25.1,9.9
FL,Gulf County,15.1,37.3,29.9,17.7
FL,Hamilton County,23.9,44,22.8,9.3
FL,Hardee County,24.2,47.9,17.4,10.4
FL,Hendry County,34.3,34.8,22.7,8.2
FL,Hernando County,12.6,36.4,33.5,17.5
FL,Highlands County,15.3,38,29.8,17
FL,Hillsborough County,11.6,27.1,28.6,32.7
FL,Holmes County,22.6,39,28.1,10.3
FL,Indian River County,11.3,29.7,30.6,28.3
FL,Jackson County,19.3,37.4,29.8,13.4
FL,Jefferson County,17.9,33.3,26.7,22
FL,Lafayette County,23.9,40.8,19.6,15.8
FL,Lake County,10.7,32.9,33.7,22.7
FL,Lee County,12,30.8,29.4,27.8
FL,Leon County,6.4,19.1,28.8,45.7
FL,Levy County,15.7,41.1,30.5,12.6
FL,Liberty County,18.6,47.9,20.8,12.7
FL,Madison County,19.3,38.1,28.8,13.8
FL,Manatee County,10.8,30.4,29.5,29.3
FL,Marion County,12.7,37.5,30.5,19.4
FL,Martin County,9.5,25.2,32.4,33
FL,Miami-Dade County,18.5,27.7,24.9,28.8
FL,Monroe County,8.7,27.3,30.7,33.3
FL,Nassau County,8.6,32.7,30.4,28.2
FL,Okaloosa County,8.2,24.7,36.5,30.6
FL,Okeechobee County,25,38.4,25.2,11.4
FL,Orange County,11.5,24.5,30.1,33.8
FL,Osceola County,13.2,31.9,34.3,20.5
FL,Palm Beach County,11.8,24.5,28,35.7
FL,Pasco County,11,33.1,32.5,23.4
FL,Pinellas County,8.9,28.3,31.9,31
FL,Polk County,15.2,35.4,29.4,20
FL,Putnam County,19.1,40.7,27.8,12.4
FL,St. Johns County,5.4,21.4,29.4,43.7
FL,St. Lucie County,13.9,33.7,32.1,20.3
FL,Santa Rosa County,8.4,27.2,36.3,28.1
FL,Sarasota County,7.2,29.1,29.1,34.7
FL,Seminole County,5.7,21.7,34.3,38.2
FL,Sumter County,8.4,30.2,30.2,31.1
FL,Suwannee County,18.5,39.3,27.5,14.7
FL,Taylor County,22.6,43.3,26.8,7.4
FL,Union County,23.1,37.9,30.7,8.3
FL,Volusia County,10,32.2,34.2,23.6
FL,Wakulla County,12.1,35.9,33.6,18.4
FL,Walton County,11.5,27.6,32.5,28.4
FL,Washington County,18.8,41.5,28,11.7
GA,Georgia,13.3,27.9,28.2,30.7
GA,Appling County,25.5,38.3,26.5,9.7
GA,Atkinson County,30.9,40.3,18.9,9.9
GA,Bacon County,18.5,41.9,29.6,10.1
GA,Baker County,21.7,38.9,27.1,12.3
GA,Baldwin County,15.6,36.4,27.1,20.9
GA,Banks County,22.9,40.6,23.6,12.8
GA,Barrow County,17,34.4,31.1,17.6
GA,Bartow County,17,33,30.6,19.5
GA,Ben Hill County,17.3,44.2,26.4,12
GA,Berrien County,21.9,42.3,23.9,11.8
GA,Bibb County,14.3,31.6,28.5,25.7
GA,Bleckley County,12.4,41.7,28.7,17.2
GA,Brantley County,20,46.6,25.2,8.2
GA,Brooks County,17.2,38.1,29.5,15.2
GA,Bryan County,8.1,25.6,33.8,32.6
GA,Bulloch County,13.1,27.3,32.2,27.4
GA,Burke County,20.8,37.4,29.1,12.6
GA,Butts County,20.8,44,23.8,11.4
GA,Calhoun County,25.7,39.3,25.7,9.4
GA,Camden County,8.2,31.5,35.8,24.5
GA,Candler County,23.4,36.1,26.4,14.1
GA,Carroll County,16.3,33.2,30,20.6
GA,Catoosa County,12.6,32.4,34.3,20.8
GA,Charlton County,26.7,39.1,23.7,10.5
GA,Chatham County,10.4,24.3,32.1,33.2
GA,Chattahoochee County,7.2,25.9,33.6,33.4
GA,Chattooga County,26.9,38.7,24.5,9.8
GA,Cherokee County,8.6,22.8,31.6,37
GA,Clarke County,12.9,21.1,23.3,42.7
GA,Clay County,20.2,42.3,29.5,7.9
GA,Clayton County,15.3,32.9,32.3,19.5
GA,Clinch County,29.2,31.7,28,11.1
GA,Cobb County,8.2,18.7,26.6,46.5
GA,Coffee County,22.6,38.6,25.6,13.2
GA,Colquitt County,26.2,39.4,22,12.5
GA,Columbia County,7.4,24.9,32.6,35.1
GA,Cook County,20.1,34.4,30,15.5
GA,Coweta County,11.2,28.6,30.3,29.8
GA,Crawford County,16.5,39.4,33.8,10.3
GA,Crisp County,19.9,39.1,27.3,13.7
GA,Dade County,20.9,35.8,29.5,13.9
GA,Dawson County,14,28.6,27.1,30.4
GA,Decatur County,18.4,36.1,30.9,14.6
GA,DeKalb County,11,20.8,24.8,43.4
GA,Dodge County,16.8,42.3,27.3,13.7
GA,Dooly County,24.8,39.6,24.3,11.3
GA,Dougherty County,17.5,29,32.1,21.4
GA,Douglas County,12,30.7,30.1,27.1
GA,Early County,19.9,36,28.5,15.6
GA,Echols County,28.5,38.2,24.5,8.8
GA,Effingham County,12,37.8,30.1,20.1
GA,Elbert County,22.6,43.1,23.5,10.8
GA,Emanuel County,20.8,42.9,23.9,12.4
GA,Evans County,25.7,37.5,21.4,15.5
GA,Fannin County,13.3,34.3,31.2,21.3
GA,Fayette County,5.2,20.7,27.5,46.5
GA,Floyd County,19,33.1,27.5,20.4
GA,Forsyth County,7.2,16.6,24.5,51.7
GA,Franklin County,20,40.1,26.3,13.5
GA,Fulton County,7.9,18.3,22.4,51.4
GA,Gilmer County,18.1,36.4,25.4,20
GA,Glascock County,22.6,42.1,26.2,9
GA,Glynn County,12.1,27,31.3,29.6
GA,Gordon County,22.3,35.2,28.1,14.4
GA,Grady County,19.7,37.8,28.3,14.1
GA,Greene County,16.8,33.6,23.7,25.8
GA,Gwinnett County,12.3,22.8,28.8,36.1
GA,Habersham County,21.8,33.7,25.8,18.7
GA,Hall County,21.6,27.5,26.9,24
GA,Hancock County,28.5,42.9,19.8,8.8
GA,Haralson County,19.3,36.6,30.1,14
GA,Harris County,9.2,23.5,37.4,29.9
GA,Hart County,19.6,36.7,28.6,15.1
GA,Heard County,20.7,43.5,26,9.8
GA,Henry County,9.6,31.1,31,28.3
GA,Houston County,9.1,27.2,36.4,27.3
GA,Irwin County,18.4,40.6,26.7,14.3
GA,Jackson County,16.3,32.3,30.4,21
GA,Jasper County,21.4,38.9,28.9,10.8
GA,Jeff Davis County,22.3,40.4,27.3,10
GA,Jefferson County,24.9,41.3,22.8,11
GA,Jenkins County,20.7,40.5,29.5,9.3
GA,Johnson County,22.8,44,22.8,10.4
GA,Jones County,12.6,36.7,30.6,20.1
GA,Lamar County,13.3,40.1,29.5,17.1
GA,Lanier County,20.6,35.7,27.3,16.4
GA,Laurens County,14.9,43.4,26.2,15.6
GA,Lee County,9.4,30.8,34.2,25.6
GA,Liberty County,9.1,32,40.6,18.3
GA,Lincoln County,17.6,41.4,27.6,13.5
GA,Long County,14.8,31.5,38.1,15.5
GA,Lowndes County,14.9,30,29.6,25.6
GA,Lumpkin County,16.3,29.2,28.3,26.2
GA,McDuffie County,17.8,40.5,27.9,13.7
GA,McIntosh County,13.7,38.1,32.6,15.6
GA,Macon County,27.2,34.1,30.1,8.6
GA,Madison County,16.7,38,27.2,18
GA,Marion County,23.1,38.1,25.8,13.1
GA,Meriwether County,20.9,38.9,28.8,11.5
GA,Miller County,17.7,38.1,31.9,12.3
GA,Mitchell County,25.3,38.2,25.5,11.1
GA,Monroe County,15,33.9,24.8,26.3
GA,Montgomery County,18.3,39,28.5,14.1
GA,Morgan County,13.5,34.8,30.9,20.8
GA,Murray County,30.7,37.8,22.2,9.4
GA,Muscogee County,12.7,27.3,33.9,26.2
GA,Newton County,14.2,33.6,32.6,19.6
GA,Oconee County,5.5,19.6,23.7,51.1
GA,Oglethorpe County,20.6,36.6,25.8,16.9
GA,Paulding County,9.9,33.1,32.8,24.1
GA,Peach County,16,29,35.5,19.4
GA,Pickens County,15.1,29.1,32.1,23.7
GA,Pierce County,16.3,44,27.7,11.9
GA,Pike County,13,40.9,30.1,15.9
GA,Polk County,20.9,39.6,27.3,12.2
GA,Pulaski County,19.6,37.5,30.5,12.4
GA,Putnam County,14.6,37.5,25.7,22.2
GA,Quitman County,32.4,34.3,24.2,9.1
GA,Rabun County,15.8,34,25.4,24.8
GA,Randolph County,24.2,37.2,27,11.7
GA,Richmond County,16.6,30.7,31.3,21.3
GA,Rockdale County,11.8,31.5,30.2,26.5
GA,Schley County,15.7,35.3,36.1,12.9
GA,Screven County,16.9,42.7,26.2,14.2
GA,Seminole County,14.5,39.6,31.5,14.4
GA,Spalding County,18.1,39.4,26.1,16.4
GA,Stephens County,16.5,36.7,24.6,22.1
GA,Stewart County,28.4,42.2,18.2,11.2
GA,Sumter County,19.3,33.2,28.8,18.6
GA,Talbot County,19.5,44.3,24.1,12
GA,Taliaferro County,28.8,47.8,16.4,7
GA,Tattnall County,24.6,39.1,23.2,13.2
GA,Taylor County,21.8,37.5,29.5,11.2
GA,Telfair County,29.7,45.9,16.1,8.4
GA,Terrell County,23.4,31.9,32.4,12.3
GA,Thomas County,17.4,30.9,28.7,23.1
GA,Tift County,18.2,34.5,30.8,16.5
GA,Toombs County,19.1,38.5,26.6,15.8
GA,Towns County,10.8,30.8,32.2,26.2
GA,Treutlen County,25.5,38.9,21.9,13.6
GA,Troup County,17.1,34.3,30.1,18.5
GA,Turner County,17.6,40.4,29.5,12.5
GA,Twiggs County,29.2,37.6,23.8,9.4
GA,Union County,11.1,34.2,32.3,22.4
GA,Upson County,20.1,35.9,30.3,13.7
GA,Walker County,18.1,36.2,29.7,15.9
GA,Walton County,12.7,37.8,29.6,19.9
GA,Ware County,17.1,40.9,28.2,13.9
GA,Warren County,26.5,42.4,17.7,13.4
GA,Washington County,19.8,42.5,23.7,14
GA,Wayne County,18.1,40.6,28.5,12.9
GA,Webster County,22.5,44.8,21,11.7
GA,Wheeler County,22,48.7,16.4,12.8
GA,White County,14.9,31.6,32.1,21.4
GA,Whitfield County,30.6,28.9,24.7,15.7
