Area name,Unemployment_rate_2019,Median_Household_Income_2018
"Sumter County, AL",4.5,"27,859"
"Talladega County, AL",3.4,"41,630"
"Tallapoosa County, AL",3,"42,205"
"Tuscaloosa County, AL",2.7,"52,557"
"Walker County, AL",3.3,"45,434"
"Washington County, AL",4.6,"44,424"
"Wilcox County, AL",7.1,"25,385"
"Winston County, AL",3.3,"41,156"
Alaska,6.1,"74,912"
"Aleutians East Borough, AK",2.8,"70,081"
"Aleutians West Census Area, AK",3.6,"82,633"
"Anchorage Borough/municipality, AK",5.1,"82,113"
"Bethel Census Area, AK",12.9,"44,304"
"Bristol Bay Borough, AK",6.1,"77,257"
"Denali Borough, AK",8.5,"75,477"
"Dillingham Census Area, AK",8.1,"54,524"
"Fairbanks North Star Borough, AK",5.4,"74,268"
"Haines Borough, AK",8.9,"58,943"
"Hoonah-Angoon Census Area, AK",11.4,"51,188"
"Juneau Borough/city, AK",4.4,"79,173"
"Kenai Peninsula Borough, AK",6.8,"65,439"
"Ketchikan Gateway Borough, AK",6.2,"68,309"
"Kodiak Island Borough, AK",5.6,"74,109"
"Kusilvak Census Area, AK",19.3,"32,728"
"Lake and Peninsula Borough, AK",9.9,"49,403"
"Matanuska-Susitna Borough, AK",6.9,"74,649"
"Nome Census Area, AK",10.9,"55,318"
"North Slope Borough, AK",6.4,"89,276"
"Northwest Arctic Borough, AK",14,"59,337"
"Petersburg Borough, AK",8.7,"66,075"
"Prince of Wales-Hyder Census Area, AK",10.1,"49,356"
"Prince of Wales-Outer Ketchikan Census Area, AK",,
"Sitka Borough/city, AK",4.2,"71,825"
"Skagway Municipality, AK",9.2,"74,635"
"Skagway-Hoonah-Angoon Census Area, AK",,
"Southeast Fairbanks Census Area, AK",9,"63,527"
"Valdez-Cordova Census Area, AK",7.5,"68,528"
"Wrangell Borough/city, AK",7.7,"57,832"
"Wrangell-Petersburg Census Area, AK",,
"Yakutat Borough/city, AK",7.7,"59,523"
"Yukon-Koyukuk Census Area, AK",14,"38,912"
Arizona,4.7,"59,079"
"Apache County, AZ",9.9,"33,652"
"Cochise County, AZ",5.7,"49,164"
"Coconino County, AZ",5.5,"60,187"
"Gila County, AZ",5.5,"43,585"
"Graham County, AZ",4.8,"50,157"
"Greenlee County, AZ",3.9,"65,818"
"La Paz County, AZ",5.8,"37,350"
"Maricopa County, AZ",4,"65,234"
"Mohave County, AZ",5.7,"45,129"
"Navajo County, AZ",7.3,"40,650"
"Pima County, AZ",4.4,"53,395"
"Pinal County, AZ",4.9,"58,848"
"Santa Cruz County, AZ",8.5,"40,545"
"Yavapai County, AZ",4.4,"48,758"
"Yuma County, AZ",16.4,"44,116"
Arkansas,3.5,"47,094"
"Arkansas County, AR",3,"43,887"
"Ashley County, AR",5.4,"41,127"
"Baxter County, AR",4,"39,686"
"Benton County, AR",2.6,"68,978"
"Boone County, AR",3.2,"44,482"
"Bradley County, AR",4.1,"37,729"
"Calhoun County, AR",4.4,"44,969"
"Carroll County, AR",3.1,"45,023"
"Chicot County, AR",6.9,"31,787"
"Clark County, AR",3.8,"45,408"
"Clay County, AR",4.9,"37,687"
"Cleburne County, AR",4.5,"44,902"
"Cleveland County, AR",3.9,"47,600"
"Columbia County, AR",4.5,"40,909"
"Conway County, AR",4.3,"44,565"
"Craighead County, AR",2.8,"45,615"
"Crawford County, AR",3.3,"47,363"
"Crittenden County, AR",4.2,"42,606"
"Cross County, AR",4.2,"41,214"
"Dallas County, AR",4.7,"37,259"
"Desha County, AR",4.5,"36,132"
"Drew County, AR",5.2,"42,494"
"Faulkner County, AR",3,"53,882"
"Franklin County, AR",3.4,"43,696"
"Fulton County, AR",4,"35,630"
"Garland County, AR",3.7,"43,610"
"Grant County, AR",3.2,"52,050"
"Greene County, AR",3.5,"46,512"
"Hempstead County, AR",3.8,"38,682"
"Hot Spring County, AR",3.6,"47,205"
"Howard County, AR",3.3,"40,199"
"Independence County, AR",4,"45,596"
"Izard County, AR",5.5,"37,828"
"Jackson County, AR",6.5,"36,573"
"Jefferson County, AR",5.5,"38,596"
"Johnson County, AR",4.6,"39,381"
"Lafayette County, AR",4.7,"35,527"
"Lawrence County, AR",4.2,"40,308"
"Lee County, AR",4.5,"28,080"
"Lincoln County, AR",4.4,"44,951"
"Little River County, AR",4.3,"43,559"
"Logan County, AR",4.3,"41,471"
"Lonoke County, AR",3.2,"56,651"
"Madison County, AR",2.5,"42,674"
"Marion County, AR",4,"36,581"
"Miller County, AR",4.1,"42,162"
"Mississippi County, AR",5.1,"36,718"
"Monroe County, AR",4.3,"32,922"
"Montgomery County, AR",4.6,"38,318"
"Nevada County, AR",4,"37,626"
"Newton County, AR",3.5,"36,078"
"Ouachita County, AR",5.2,"37,624"
"Perry County, AR",4.1,"45,342"
"Phillips County, AR",6,"29,945"
"Pike County, AR",3.9,"41,534"
"Poinsett County, AR",3.4,"37,370"
"Polk County, AR",4.2,"39,048"
"Pope County, AR",4.3,"45,788"
"Prairie County, AR",4.4,"43,245"
"Pulaski County, AR",3.4,"49,957"
"Randolph County, AR",3.9,"37,799"
"St. Francis County, AR",5.2,"33,257"
"Saline County, AR",2.8,"63,677"
"Scott County, AR",3.4,"35,826"
"Searcy County, AR",4.6,"31,659"
"Sebastian County, AR",3.3,"46,843"
"Sevier County, AR",4.8,"44,100"
"Sharp County, AR",5,"36,032"
"Stone County, AR",4.7,"34,009"
"Union County, AR",5.2,"45,335"
"Van Buren County, AR",5,"40,486"
"Washington County, AR",2.4,"50,893"
"White County, AR",4.5,"44,811"
"Woodruff County, AR",5.3,"34,306"
"Yell County, AR",4,"41,729"
California,4,"75,250"
"Alameda County, CA",2.9,"101,744"
"Alpine County, CA",5.1,"55,384"
"Amador County, CA",3.8,"58,515"
"Butte County, CA",5.1,"50,945"
"Calaveras County, CA",3.8,"62,984"
"Colusa County, CA",12.8,"57,249"
"Contra Costa County, CA",3.1,"101,463"
"Del Norte County, CA",5.7,"48,518"
"El Dorado County, CA",3.5,"81,869"
"Fresno County, CA",7.2,"52,318"
"Glenn County, CA",6.1,"47,365"
"Humboldt County, CA",3.6,"49,471"
"Imperial County, CA",18.3,"46,633"
"Inyo County, CA",3.5,"53,793"
"Kern County, CA",7.7,"51,586"
"Kings County, CA",7.9,"58,255"
"Lake County, CA",5,"45,086"
"Lassen County, CA",4.6,"57,705"
"Los Angeles County, CA",4.4,"67,986"
"Madera County, CA",6.9,"53,632"
"Marin County, CA",2.3,"122,933"
"Mariposa County, CA",4.6,"51,402"
"Mendocino County, CA",4,"51,386"
"Merced County, CA",8.1,"56,169"
"Modoc County, CA",7.1,"45,227"
"Mono County, CA",3.7,"66,499"
"Monterey County, CA",6.2,"69,665"
"Napa County, CA",2.8,"85,624"
"Nevada County, CA",3.3,"66,681"
"Orange County, CA",2.8,"89,373"
"Placer County, CA",3.1,"89,175"
"Plumas County, CA",7.7,"55,079"
"Riverside County, CA",4.2,"66,793"
"Sacramento County, CA",3.7,"69,475"
"San Benito County, CA",5,"80,063"
"San Bernardino County, CA",3.8,"63,310"
"San Diego County, CA",3.2,"78,777"
"San Francisco County/city, CA",2.2,"110,601"
"San Joaquin County, CA",5.9,"63,567"
"San Luis Obispo County, CA",2.9,"70,626"
"San Mateo County, CA",2,"122,930"
"Santa Barbara County, CA",3.7,"75,646"
"Santa Clara County, CA",2.5,"125,933"
"Santa Cruz County, CA",4.7,"84,213"
"Shasta County, CA",4.7,"53,908"
"Sierra County, CA",5.4,"52,308"
"Siskiyou County, CA",6.5,"47,560"
"Solano County, CA",3.7,"82,808"
"Sonoma County, CA",2.7,"81,002"
"Stanislaus County, CA",6,"59,616"
"Sutter County, CA",7.3,"57,879"
"Tehama County, CA",5.5,"47,572"
"Trinity County, CA",5.5,"40,680"
"Tulare County, CA",9.6,"48,763"
"Tuolumne County, CA",4.5,"56,500"
"Ventura County, CA",3.6,"84,170"
"Yolo County, CA",4.1,"67,804"
"Yuba County, CA",6.1,"47,504"
Colorado,2.8,"71,949"
"Adams County, CO",2.9,"70,199"
"Alamosa County, CO",3.6,"42,897"
"Arapahoe County, CO",2.7,"76,665"
"Archuleta County, CO",3.2,"53,337"
"Baca County, CO",1.7,"38,294"
"Bent County, CO",2.9,"37,659"
"Boulder County, CO",2.4,"83,591"
"Broomfield County/city, CO",2.4,"96,924"
"Chaffee County, CO",2.4,"56,168"
"Cheyenne County, CO",1.6,"54,504"
"Clear Creek County, CO",2.5,"74,019"
"Conejos County, CO",3.6,"38,777"
"Costilla County, CO",3.9,"31,557"
"Crowley County, CO",4.3,"35,880"
"Custer County, CO",3,"55,242"
"Delta County, CO",3.3,"46,786"
"Denver County/city, CO",2.7,"68,069"
"Dolores County, CO",3,"47,482"
"Douglas County, CO",2.4,"120,670"
"Eagle County, CO",2.2,"86,896"
"Elbert County, CO",2.2,"98,247"
"El Paso County, CO",3.3,"67,923"
"Fremont County, CO",4.6,"47,885"
"Garfield County, CO",2.7,"74,421"
"Gilpin County, CO",2.3,"72,949"
"Grand County, CO",2.1,"69,214"
"Gunnison County, CO",2.1,"61,268"
"Hinsdale County, CO",3.7,"62,149"
"Huerfano County, CO",5.7,"38,242"
"Jackson County, CO",2.3,"51,457"
"Jefferson County, CO",2.5,"85,550"
"Kiowa County, CO",1.6,"44,704"
"Kit Carson County, CO",1.7,"48,342"
"Lake County, CO",2.3,"51,802"
"La Plata County, CO",2.5,"66,219"
"Larimer County, CO",2.4,"71,306"
"Las Animas County, CO",3.9,"41,485"
"Lincoln County, CO",2.3,"46,690"
"Logan County, CO",2.4,"53,168"
"Mesa County, CO",3.4,"51,132"
"Mineral County, CO",2.3,"60,210"
"Moffat County, CO",3.4,"59,500"
"Montezuma County, CO",4.2,"50,180"
"Montrose County, CO",3.1,"52,576"
"Morgan County, CO",2.6,"55,387"
"Otero County, CO",4.1,"40,064"
"Ouray County, CO",2.9,"68,900"
"Park County, CO",2.5,"72,121"
"Phillips County, CO",1.6,"52,367"
"Pitkin County, CO",3.1,"89,034"
"Prowers County, CO",2.6,"42,455"
"Pueblo County, CO",4.1,"48,308"
"Rio Blanco County, CO",3.7,"63,411"
"Rio Grande County, CO",4.1,"44,171"
"Routt County, CO",2.2,"81,033"
"Saguache County, CO",4,"36,869"
"San Juan County, CO",3,"46,878"
"San Miguel County, CO",2.8,"69,458"
"Sedgwick County, CO",2,"40,009"
"Summit County, CO",1.8,"80,078"
"Teller County, CO",3.1,"64,850"
"Washington County, CO",2,"47,869"
"Weld County, CO",2.5,"75,629"
"Yuma County, CO",1.6,"53,253"
Connecticut,3.7,"76,366"
"Fairfield County, CT",3.6,"91,183"
"Hartford County, CT",3.9,"73,037"
"Litchfield County, CT",3.5,"76,304"
"Middlesex County, CT",3.2,"88,709"
"New Haven County, CT",3.9,"67,720"
"New London County, CT",3.6,"67,790"
"Tolland County, CT",3.3,"89,584"
"Windham County, CT",4,"65,182"
Delaware,3.8,"65,467"
"Kent County, DE",4.2,"54,980"
"New Castle County, DE",3.7,"69,562"
"Sussex County, DE",3.8,"59,821"
District of Columbia,5.5,"82,533"
District of Columbia,5.5,"82,533"
Florida,3.1,"55,433"
"Alachua County, FL",2.9,"51,026"
"Baker County, FL",3.1,"52,804"
"Bay County, FL",3.9,"51,777"
"Bradford County, FL",3.1,"45,075"
"Brevard County, FL",3.2,"57,612"
"Broward County, FL",3,"57,200"
"Calhoun County, FL",4.1,"38,323"
"Charlotte County, FL",3.7,"52,724"
"Citrus County, FL",4.8,"41,556"
"Clay County, FL",3,"62,835"
"Collier County, FL",3.1,"70,649"
"Columbia County, FL",3.2,"46,195"
"DeSoto County, FL",3.5,"37,233"
"Dixie County, FL",3.8,"37,148"
"Duval County, FL",3.3,"55,733"
"Escambia County, FL",3.2,"50,644"
"Flagler County, FL",3.8,"58,975"
"Franklin County, FL",3.5,"40,297"
"Gadsden County, FL",4.1,"42,259"
"Gilchrist County, FL",3.4,"42,186"
"Glades County, FL",3.9,"38,680"
"Gulf County, FL",4.8,"45,426"
"Hamilton County, FL",4.1,"36,299"
"Hardee County, FL",5,"39,169"
"Hendry County, FL",5.8,"44,391"
"Hernando County, FL",4.2,"45,884"
"Highlands County, FL",4.5,"39,994"
"Hillsborough County, FL",3.1,"58,361"
"Holmes County, FL",3.5,"38,040"
"Indian River County, FL",3.8,"58,228"
"Jackson County, FL",3.6,"39,545"
"Jefferson County, FL",3.3,"46,332"
"Lafayette County, FL",3,"42,689"
"Lake County, FL",3.2,"52,447"
"Lee County, FL",3.1,"56,343"
"Leon County, FL",3.1,"51,046"
"Levy County, FL",3.7,"39,037"
"Liberty County, FL",3.6,"40,814"
"Madison County, FL",3.8,"38,249"
"Manatee County, FL",3.1,"59,587"
"Marion County, FL",3.8,"44,517"
"Martin County, FL",3.1,"61,592"
"Miami-Dade County, FL",2.4,"52,043"
"Monroe County, FL",2.1,"67,094"
"Nassau County, FL",2.9,"66,898"
"Okaloosa County, FL",2.7,"62,779"
"Okeechobee County, FL",3.5,"42,258"
"Orange County, FL",2.9,"58,037"
"Osceola County, FL",3.3,"50,473"
"Palm Beach County, FL",3.3,"61,735"
"Pasco County, FL",3.5,"53,788"
"Pinellas County, FL",3,"52,226"
"Polk County, FL",3.7,"51,354"
"Putnam County, FL",4.3,"39,578"
"St. Johns County, FL",2.6,"81,925"
"St. Lucie County, FL",3.9,"53,377"
"Santa Rosa County, FL",3,"69,541"
"Sarasota County, FL",3.1,"61,652"
"Seminole County, FL",2.9,"67,187"
"Sumter County, FL",4.6,"55,324"
"Suwannee County, FL",3.4,"38,525"
"Taylor County, FL",3.6,"42,307"
"Union County, FL",3,"45,906"
"Volusia County, FL",3.4,"50,285"
"Wakulla County, FL",2.9,"58,203"
"Walton County, FL",2.8,"60,973"
"Washington County, FL",3.4,"39,225"
Georgia,3.4,"58,634"
"Appling County, GA",3.9,"42,781"
"Atkinson County, GA",3,"36,779"
"Bacon County, GA",3.5,"38,775"
"Baker County, GA",4.7,"38,288"
"Baldwin County, GA",4.2,"42,727"
"Banks County, GA",2.7,"55,384"
"Barrow County, GA",2.8,"61,413"
"Bartow County, GA",3.3,"57,409"
"Ben Hill County, GA",5.5,"35,020"
"Berrien County, GA",4,"39,412"
"Bibb County, GA",3.9,"41,390"
"Bleckley County, GA",5,"46,019"
"Brantley County, GA",4.1,"41,874"
"Brooks County, GA",3.4,"36,354"
"Bryan County, GA",3,"79,658"
"Bulloch County, GA",3.7,"43,766"
"Burke County, GA",5.1,"42,785"
"Butts County, GA",3.4,"48,831"
"Calhoun County, GA",3.6,"33,393"
"Camden County, GA",3.6,"56,555"
"Candler County, GA",3,"35,841"
"Carroll County, GA",3.4,"52,502"
"Catoosa County, GA",3,"55,807"
"Charlton County, GA",3.8,"40,499"
"Chatham County, GA",3.3,"54,165"
"Chattahoochee County, GA",4.6,"46,869"
"Chattooga County, GA",5,"39,513"
"Cherokee County, GA",2.7,"82,733"
"Clarke County, GA",3.6,"42,112"
"Clay County, GA",6.9,"30,239"
"Clayton County, GA",4.2,"46,059"
"Clinch County, GA",3.9,"37,593"
"Cobb County, GA",3,"78,603"
"Coffee County, GA",3.9,"39,480"
"Colquitt County, GA",3.2,"38,633"
"Columbia County, GA",3,"82,184"
"Cook County, GA",3.4,"38,827"
"Coweta County, GA",2.9,"70,974"
"Crawford County, GA",3.6,"48,004"
"Crisp County, GA",3.9,"36,096"
"Dade County, GA",3.3,"48,779"
"Dawson County, GA",2.8,"68,835"
"Decatur County, GA",3.8,"38,441"
"DeKalb County, GA",3.4,"63,477"
"Dodge County, GA",5.4,"35,636"
"Dooly County, GA",3.8,"37,278"
"Dougherty County, GA",4.7,"38,806"
"Douglas County, GA",3.5,"60,512"
"Early County, GA",3.9,"34,984"
"Echols County, GA",2.8,"38,667"
"Effingham County, GA",2.9,"65,793"
"Elbert County, GA",4,"39,681"
"Emanuel County, GA",5.3,"37,574"
"Evans County, GA",3.4,"37,319"
"Fannin County, GA",3.3,"43,439"
"Fayette County, GA",3,"95,021"
"Floyd County, GA",3.8,"44,906"
"Forsyth County, GA",2.7,"105,921"
"Franklin County, GA",3.5,"42,904"
"Fulton County, GA",3.5,"70,808"
"Gilmer County, GA",3.5,"47,757"
"Glascock County, GA",3.7,"42,820"
"Glynn County, GA",3.3,"53,906"
"Gordon County, GA",3.4,"49,101"
"Grady County, GA",3.4,"41,002"
"Greene County, GA",3.9,"54,016"
"Gwinnett County, GA",3,"72,008"
"Habersham County, GA",3.5,"51,829"
"Hall County, GA",2.8,"61,631"
"Hancock County, GA",5.5,"31,716"
"Haralson County, GA",3.3,"47,662"
"Harris County, GA",3.1,"74,686"
"Hart County, GA",3.5,"47,171"
"Heard County, GA",3.3,"46,218"
"Henry County, GA",3.5,"72,970"
"Houston County, GA",3.3,"60,728"
"Irwin County, GA",4.7,"38,156"
"Jackson County, GA",2.7,"68,984"
"Jasper County, GA",3.1,"51,241"
"Jeff Davis County, GA",4.6,"37,211"
"Jefferson County, GA",4.7,"38,274"
"Jenkins County, GA",5.1,"31,419"
"Johnson County, GA",3.6,"34,849"
"Jones County, GA",3.2,"55,737"
"Lamar County, GA",3.9,"48,323"
"Lanier County, GA",3.9,"41,564"
"Laurens County, GA",4.6,"42,114"
"Lee County, GA",3.1,"66,090"
"Liberty County, GA",3.7,"47,685"
"Lincoln County, GA",3.9,"46,967"
"Long County, GA",3.6,"46,428"
"Lowndes County, GA",3.5,"41,820"
"Lumpkin County, GA",3.1,"55,583"
"McDuffie County, GA",5.1,"42,768"
"McIntosh County, GA",3.6,"42,513"
"Macon County, GA",4.6,"32,868"
"Madison County, GA",3,"51,338"
"Marion County, GA",4.2,"39,114"
"Meriwether County, GA",4.5,"38,886"
"Miller County, GA",3.3,"42,483"
"Mitchell County, GA",4.6,"36,788"
"Monroe County, GA",3.2,"59,362"
"Montgomery County, GA",5.3,"41,834"
"Morgan County, GA",3.1,"57,978"
"Murray County, GA",5,"46,810"
"Muscogee County, GA",4.5,"46,628"
"Newton County, GA",3.9,"56,598"
"Oconee County, GA",2.5,"99,497"
"Oglethorpe County, GA",3.2,"51,105"
"Paulding County, GA",2.9,"73,309"
"Peach County, GA",4.1,"46,525"
"Pickens County, GA",3,"65,062"
"Pierce County, GA",3.4,"44,389"
"Pike County, GA",3,"66,901"
"Polk County, GA",3.6,"43,679"
"Pulaski County, GA",3.8,"40,582"
"Putnam County, GA",4.3,"51,205"
"Quitman County, GA",5,"33,908"
"Rabun County, GA",3.5,"44,213"
"Randolph County, GA",4.8,"28,298"
"Richmond County, GA",4.5,"40,168"
"Rockdale County, GA",3.8,"59,673"
"Schley County, GA",3.9,"45,378"
"Screven County, GA",5.4,"39,048"
"Seminole County, GA",4.4,"36,869"
"Spalding County, GA",4,"43,510"
"Stephens County, GA",3.9,"45,850"
"Stewart County, GA",4.2,"33,053"
"Sumter County, GA",4.8,"37,562"
"Talbot County, GA",4.5,"37,265"
"Taliaferro County, GA",4.9,"34,090"
"Tattnall County, GA",3.8,"41,440"
"Taylor County, GA",4,"36,310"
"Telfair County, GA",9.5,"34,297"
"Terrell County, GA",5,"35,290"
"Thomas County, GA",4,"41,642"
"Tift County, GA",3.4,"45,680"
"Toombs County, GA",4.9,"37,148"
"Towns County, GA",4.8,"45,853"
"Treutlen County, GA",5.3,"35,069"
"Troup County, GA",3.2,"45,234"
"Turner County, GA",3.8,"33,261"
"Twiggs County, GA",5.4,"42,054"
"Union County, GA",3.1,"45,943"
"Upson County, GA",3.6,"40,965"
"Walker County, GA",3.6,"43,767"
"Walton County, GA",3.1,"65,416"
"Ware County, GA",3.7,"38,357"
"Warren County, GA",4.5,"38,352"
"Washington County, GA",4.1,"39,444"
"Wayne County, GA",4,"44,607"
"Webster County, GA",5,"38,187"
"Wheeler County, GA",7.5,"32,691"
"White County, GA",2.6,"51,579"
"Whitfield County, GA",4.4,"47,074"
"Wilcox County, GA",4.5,"35,961"
"Wilkes County, GA",4.5,"39,361"
"Wilkinson County, GA",3.8,"41,036"
"Worth County, GA",3.9,"48,708"
Hawaii,2.7,"80,527"
"Hawaii County, HI",3.4,"56,383"
"Honolulu County/city, HI",2.6,"83,695"
"Kauai County, HI",2.7,"73,981"
"Maui County, HI",2.6,"78,503"
Idaho,2.9,"55,524"
"Ada County, ID",2.5,"66,827"
"Adams County, ID",6.8,"45,311"
"Bannock County, ID",2.8,"51,300"
"Bear Lake County, ID",2.9,"53,780"
"Benewah County, ID",5.2,"48,451"
"Bingham County, ID",2.7,"50,941"
"Blaine County, ID",2.6,"76,113"
"Boise County, ID",4.3,"56,837"
"Bonner County, ID",4.2,"51,373"
"Bonneville County, ID",2.4,"60,444"
"Boundary County, ID",4.4,"47,118"
"Butte County, ID",2.6,"50,050"
"Camas County, ID",2.7,"53,866"
"Canyon County, ID",3.2,"53,381"
"Caribou County, ID",2.7,"61,219"
"Cassia County, ID",2.4,"51,804"
"Clark County, ID",3.7,"48,471"
"Clearwater County, ID",6.8,"46,417"
"Custer County, ID",4.2,"47,682"
"Elmore County, ID",3.3,"49,344"
"Franklin County, ID",2.3,"58,170"
"Fremont County, ID",2.3,"51,155"
"Gem County, ID",3.3,"49,857"
"Gooding County, ID",2.6,"51,302"
"Idaho County, ID",4.5,"40,569"
"Jefferson County, ID",2.3,"61,927"
"Jerome County, ID",2.6,"54,020"
"Kootenai County, ID",3.6,"56,188"
"Latah County, ID",2.7,"49,538"
"Lemhi County, ID",4.8,"44,248"
"Lewis County, ID",5.5,"44,911"
"Lincoln County, ID",3.6,"50,464"
"Madison County, ID",1.8,"41,827"
"Minidoka County, ID",2.5,"53,447"
"Nez Perce County, ID",2.8,"54,476"
"Oneida County, ID",2.3,"52,602"
"Owyhee County, ID",3.4,"48,192"
"Payette County, ID",3.6,"51,835"
"Power County, ID",3.1,"51,921"
"Shoshone County, ID",5.9,"36,085"
"Teton County, ID",2.2,"68,749"
"Twin Falls County, ID",2.8,"51,594"
"Valley County, ID",3.9,"60,285"
"Washington County, ID",4.2,"43,402"
Illinois,4,"65,063"
"Adams County, IL",3.4,"55,174"
"Alexander County, IL",6.2,"35,249"
"Bond County, IL",3.8,"54,800"
"Boone County, IL",5.6,"74,507"
"Brown County, IL",2.4,"55,327"
"Bureau County, IL",4.6,"56,099"
"Calhoun County, IL",4.8,"56,099"
"Carroll County, IL",4.1,"51,963"
"Cass County, IL",4.1,"52,486"
"Champaign County, IL",3.8,"53,251"
"Christian County, IL",4.8,"52,936"
"Clark County, IL",4.5,"54,092"
"Clay County, IL",4.5,"45,427"
"Clinton County, IL",3.1,"66,597"
"Coles County, IL",4,"47,291"
"Cook County, IL",3.8,"63,347"
"Crawford County, IL",4.3,"52,313"
"Cumberland County, IL",3.4,"60,572"
"DeKalb County, IL",4.1,"63,274"
"De Witt County, IL",4.3,"55,300"
"Douglas County, IL",3.6,"56,976"
"DuPage County, IL",2.9,"93,540"
"Edgar County, IL",4.2,"51,577"
"Edwards County, IL",4.1,"51,280"
"Effingham County, IL",3.3,"60,773"
"Fayette County, IL",4.4,"47,484"
"Ford County, IL",4.3,"55,357"
"Franklin County, IL",5.4,"42,071"
"Fulton County, IL",5.6,"51,258"
"Gallatin County, IL",4.9,"43,330"
"Greene County, IL",4.3,"47,314"
"Grundy County, IL",4.5,"79,348"
"Hamilton County, IL",3.9,"53,028"
"Hancock County, IL",4.7,"53,553"
"Hardin County, IL",6.6,"41,713"
"Henderson County, IL",4.8,"53,632"
"Henry County, IL",4.8,"58,042"
"Iroquois County, IL",4.2,"55,247"
"Jackson County, IL",3.8,"41,445"
"Jasper County, IL",4.2,"54,552"
"Jefferson County, IL",4.6,"47,425"
"Jersey County, IL",4.4,"59,117"
"Jo Daviess County, IL",4.1,"56,832"
"Johnson County, IL",6,"53,884"
"Kane County, IL",4.4,"79,834"
"Kankakee County, IL",5,"53,884"
"Kendall County, IL",3.3,"93,345"
"Knox County, IL",5,"44,553"
"Lake County, IL",4.1,"87,336"
"LaSalle County, IL",5.3,"54,063"
"Lawrence County, IL",5.2,"43,767"
"Lee County, IL",4,"54,915"
"Livingston County, IL",4.1,"59,323"
"Logan County, IL",4.3,"52,959"
"McDonough County, IL",4.7,"42,887"
"McHenry County, IL",3.3,"86,268"
"McLean County, IL",3.8,"67,087"
"Macon County, IL",5.3,"50,684"
"Macoupin County, IL",4.3,"53,409"
"Madison County, IL",3.9,"60,121"
"Marion County, IL",4.5,"46,096"
"Marshall County, IL",4.8,"57,422"
"Mason County, IL",5.3,"48,764"
"Massac County, IL",5.6,"43,783"
"Menard County, IL",3.8,"74,872"
"Mercer County, IL",5,"58,384"
"Monroe County, IL",3.1,"88,481"
"Montgomery County, IL",5.2,"53,138"
"Morgan County, IL",4,"48,976"
"Moultrie County, IL",3.3,"59,901"
"Ogle County, IL",4.8,"61,794"
"Peoria County, IL",5.1,"56,478"
"Perry County, IL",5.1,"49,965"
"Piatt County, IL",3.6,"67,460"
"Pike County, IL",4.3,"47,815"
"Pope County, IL",5.6,"43,053"
"Pulaski County, IL",6.6,"38,400"
"Putnam County, IL",5,"66,319"
"Randolph County, IL",3.7,"53,607"
"Richland County, IL",4.1,"48,152"
"Rock Island County, IL",4.9,"52,642"
"St. Clair County, IL",4.5,"58,222"
"Saline County, IL",5.3,"40,761"
"Sangamon County, IL",4,"62,242"
"Schuyler County, IL",4.2,"52,018"
